topic_num,top_words
1,"min, ou, pas, on, votre, avoir, malgré, été, il, toujours, après, optimiste, mais, lundi, ont"
2,"américaine, élection, 2024, min, présidentielle, comment, bureaux, résultats, sociaux, réseaux, radio, télé, antennes, web, suivre"
3,"novembre, wever, bart, roi, min, jusqu, donne, lui, formateur, démission, mener, consultationspolitique, 12, sans, gouvernement"
4,"plus, ans, 2024, min, trois, novembre, playstation, moins, europe, liste, seront, jeux, nombreux, 65, 15"
5,"unis, était, etats, démocrate, vice, walz, candidat, présidence, min, états, guerre, ils, vidéo, jeux, il"
6,"trump, donald, américaine, harris, kamala, présidentielle, min, si, il, majorité, entre, atteindre, électeurs, élection, grands"
7,"inondations, espagne, min, meurtrières, autorités, direct, notre, plusieurs, colère, restent, face, revoir, sinistrés, zones, alerte"
8,"aux, pays, andy, dérobées, warhol, oeuvres, ont, nuit, été, deux, min, alors, vendredi, jeudi, oisterwijk"
